1,MCBP,Surveys,81.0
1,MCBP,Average pcs/m,8.4
1,SLR,Surveys,0.0
1,SLR,Average pcs/m,0.0
1,SWE,Surveys,2.0
1,SWE,Average pcs/m,21.3
1,PC,Surveys,0.0
1,PC,Average pcs/m,0.0
1,GIS,Surveys,0.0
1,GIS,Average pcs/m,0.0
2,MCBP,Surveys,20.0
2,MCBP,Average pcs/m,12.48
2,SLR,Surveys,18.0
2,SLR,Average pcs/m,7.92
2,SWE,Surveys,2.0
2,SWE,Average pcs/m,7.52
2,PC,Surveys,0.0
2,PC,Average pcs/m,0.0
2,GIS,Surveys,1.0
2,GIS,Average pcs/m,9.14
3,MCBP,Surveys,5.0
3,MCBP,Average pcs/m,9.11
3,SLR,Surveys,15.0
3,SLR,Average pcs/m,5.29
3,SWE,Surveys,2.0
3,SWE,Average pcs/m,42.61
3,PC,Surveys,2.0
3,PC,Average pcs/m,3.14
3,GIS,Surveys,0.0
3,GIS,Average pcs/m,0.0
